loan_id,Gender,Age_at_loan,Months_open_before_loan,Amount,Duration,Monthly_payments,Default_flag,Total_num_trans,total_balance,avg_balance,Credit_card_issued,No_credict_card,Junior_Credit_card,Classic_Credit_card,Gold_Credit_card,District_account_opened,Distict_Avg_Salary,Unemploymenr_rate_1995,Unemploymenr_rate_1996
5082,1,30,12,262980,60,4383,0,56,2336858.50,41729.616071,0,1,0,0,0,13,8598,2.77,3.26
5086,1,41,15,210384,48,4383,0,59,2708831.60,45912.400000,0,1,0,0,0,70,10177,6.63,7.75
5088,0,53,15,91152,24,3798,0,77,3451874.90,44829.544156,1,0,0,1,0,32,9272,2.8,3.22
5103,1,57,20,12540,12,1045,0,152,6372151.10,41922.046711,1,0,0,1,0,27,8561,0.65,1.29
5110,1,51,19,102240,60,1704,0,126,3773321.40,29946.995238,1,0,0,1,0,58,8757,3.38,3.95
5117,1,40,17,76944,12,6412,0,110,4415597.50,40141.795455,1,0,0,1,0,1,12541,0.29,0.43
5124,0,45,6,156096,36,4336,0,33,1704180.50,51641.833333,0,1,0,0,0,21,9104,1.51,2.07
5125,0,24,9,73056,48,1522,0,51,1186012.60,23255.149020,0,1,0,0,0,39,10446,7.34,9.4
5126,0,42,14,208128,48,4336,1,64,2327678.40,36369.975000,1,0,0,1,0,54,9897,1.6,1.96
5128,0,39,9,215616,48,4492,1,61,1308305.10,21447.624590,0,1,0,0,0,69,NULL,NULL,NULL
5130,1,38,15,24312,12,2026,0,78,2291705.50,29380.839744,0,1,0,0,0,16,8427,1.12,1.54
5131,0,33,17,48624,24,2026,0,117,7471296.70,63857.236752,0,1,0,0,0,52,9317,6.49,7.07
5132,0,34,10,538500,60,8975,0,58,1953895.80,33687.858621,0,1,0,0,0,5,9307,3.85,4.43
5134,0,48,10,53076,12,4423,0,65,2153411.20,33129.403077,1,0,0,1,0,19,8402,3.13,3.98
5136,1,19,4,187104,24,7796,0,25,1657309.30,66292.372000,1,0,0,1,0,72,8994,3.8,4.79
5138,1,41,20,87216,48,1817,0,148,4565378.10,30847.149324,0,1,0,0,0,62,12541,0.29,0.43
5140,1,26,9,178500,60,2975,0,64,1375474.60,21491.790625,0,1,0,0,0,73,8746,3.33,3.74
5145,0,60,7,309552,48,6449,0,35,1963692.50,56105.500000,0,1,0,0,0,72,8994,3.8,4.79
5147,1,57,5,22260,60,371,0,15,345999.20,23066.613333,0,1,0,0,0,70,10177,6.63,7.75
5148,1,37,18,284280,60,4738,0,94,6033168.30,64182.641489,1,0,0,0,1,37,9065,4.46,5.39
5151,1,36,6,189060,60,3151,0,30,2167286.90,72242.896667,1,0,0,1,0,4,9753,4.64,5.05
5154,1,31,19,108720,60,1812,0,64,3256524.60,50883.196875,1,0,0,1,0,6,8546,2.95,4.02
5158,1,22,21,188532,36,5237,0,148,9500623.90,64193.404730,0,1,0,0,0,70,10177,6.63,7.75
5160,0,51,12,204000,60,3400,0,65,2457610.90,37809.398462,0,1,0,0,0,45,8390,2.28,2.89
5161,1,49,3,98184,24,4091,0,14,583245.50,41660.392857,0,1,0,0,0,65,8403,5.74,5.72
5169,0,61,19,253200,60,4220,0,134,4567552.00,34086.208955,0,1,0,0,0,52,8363,2.52,3.49
5170,1,43,8,253200,60,4220,0,41,1939404.40,47302.546341,0,1,0,0,0,68,8363,2.52,3.49
5172,0,18,16,50976,36,1416,0,123,3450186.80,28050.299187,0,1,0,0,0,45,8390,2.28,2.89
5174,1,40,16,385104,48,8023,0,102,4838208.90,47433.420588,0,1,0,0,0,54,9897,1.6,1.96
5176,1,30,14,192552,24,8023,1,51,1222929.60,23979.011765,0,1,0,0,0,20,8547,2.65,3.64
5189,1,25,9,149040,48,3105,0,54,1989661.80,36845.588889,0,1,0,0,0,11,9622,0.45,0.59
5206,1,45,9,128544,24,5356,0,60,2431587.30,40526.455000,0,1,0,0,0,74,10673,4.75,5.44
5207,0,51,9,35904,48,748,0,59,1355882.30,22981.055932,0,1,0,0,0,68,9893,4.09,4.72
5208,1,23,21,99696,48,2077,1,108,5004859.70,46341.293519,0,1,0,0,0,25,8403,5.74,5.72
5209,1,54,7,182640,48,3805,0,40,1512089.20,37802.230000,0,1,0,0,0,62,8544,1.29,1.86
5210,1,35,20,148140,36,4115,0,118,4801225.10,40688.348305,0,1,0,0,0,13,8598,2.77,3.26
5212,1,48,13,71064,36,1974,0,86,2973648.00,34577.302326,0,1,0,0,0,38,8965,7.08,8.23
5214,0,36,12,74772,36,2077,0,71,1765921.90,24872.139437,0,1,0,0,0,55,8743,1.88,2.43
5221,0,53,17,52512,12,4376,0,87,5192534.00,59684.298851,0,1,0,0,0,55,8743,1.88,2.43
5226,0,59,9,185544,36,5154,0,35,970547.10,27729.917143,0,1,0,0,0,56,8772,4.69,4.98
5229,0,55,11,23520,12,1960,0,63,1635952.20,25967.495238,0,1,0,0,0,53,8240,2.53,3.56
5236,0,30,11,389136,48,8107,0,62,3704492.80,59749.883871,0,1,0,0,0,53,8240,2.53,3.56
5237,0,38,16,45336,24,1889,0,90,4333765.80,48152.953333,0,1,0,0,0,19,8402,3.13,3.98
5241,0,57,12,125472,24,5228,0,97,4751950.70,48989.182474,0,1,0,0,0,34,9675,6.43,7.68
5245,1,51,9,125472,24,5228,0,77,5495955.40,71376.044156,0,1,0,0,0,19,8402,3.13,3.98
5253,1,31,3,100080,48,2085,0,10,226043.40,22604.340000,0,1,0,0,0,65,8403,5.74,5.72
5260,1,52,18,123300,36,3425,0,90,4952395.80,55026.620000,1,0,0,1,0,41,9832,3.32,4.48
5265,0,47,20,165780,60,2763,0,113,5123669.10,45342.204425,0,1,0,0,0,62,8544,1.29,1.86
5269,1,19,12,164052,36,4557,1,65,2713890.50,41752.161538,0,1,0,0,0,31,8930,3.52,4.2
5270,0,34,13,191088,48,3981,0,78,2549666.60,32688.033333,0,1,0,0,0,50,8187,4.83,5.45
5281,0,29,22,194256,24,8094,0,134,6883644.40,51370.480597,1,0,0,1,0,69,NULL,NULL,NULL
5282,1,27,21,388512,48,8094,1,120,2564558.40,21371.320000,0,1,0,0,0,69,NULL,NULL,NULL
5285,1,37,8,78936,12,6578,0,51,1320916.30,25900.319608,0,1,0,0,0,1,8930,3.52,4.2
5287,0,60,14,64224,24,2676,0,47,2149584.40,45735.838298,0,1,0,0,0,6,8546,2.95,4.02
5293,0,58,20,189792,48,3954,0,128,4449309.30,34760.228906,0,1,0,0,0,47,9538,1.51,1.81
5301,1,45,3,141948,36,3943,0,10,325926.80,32592.680000,1,0,0,1,0,68,9893,4.09,4.72
5304,0,55,10,172272,24,7178,0,55,3363058.80,61146.523636,0,1,0,0,0,71,8678,5.93,5.57
5310,1,54,16,248148,36,6893,0,120,4327654.60,36063.788333,0,1,0,0,0,28,8594,1.62,2.01
5311,0,44,21,30060,60,501,0,186,6921693.80,37213.407527,1,0,0,1,0,28,8594,1.62,2.01
5312,1,42,12,202788,36,5633,0,79,4512817.20,57124.268354,0,1,0,0,0,31,8930,3.52,4.2
5313,1,49,10,43200,24,1800,0,54,1952624.10,36159.705556,0,1,0,0,0,36,9198,3.33,4.28
5314,1,45,3,96396,12,8033,1,4,49000.00,12250.000000,0,1,0,0,0,30,9650,3.38,3.67
5316,0,24,4,165960,36,4610,0,37,1927102.80,52083.859459,0,1,0,0,0,46,8369,1.79,2.31
5318,0,23,16,385584,48,8033,0,78,5433196.80,69656.369231,0,1,0,0,0,28,8594,1.62,2.01
5319,1,51,9,239460,60,3991,0,46,1842832.70,40061.580435,0,1,0,0,0,40,9893,4.09,4.72
5320,0,45,14,143676,36,3991,0,72,2042671.80,28370.441667,0,1,0,0,0,55,8743,1.88,2.43
5325,1,53,6,105804,36,2939,0,25,1032437.00,41297.480000,1,0,0,1,0,12,10045,1.42,1.71
5329,1,46,18,396120,60,6602,0,95,5591251.40,58855.277895,1,0,0,1,0,19,8402,3.13,3.98
5332,1,31,19,37944,36,1054,0,107,6558668.70,61295.969159,1,0,0,1,0,1,12541,0.29,0.43
5334,0,19,11,209040,24,8710,0,66,2968839.90,44982.422727,1,0,1,0,0,1,12541,0.29,0.43
5337,1,38,4,162468,36,4513,0,15,769193.30,51279.553333,0,1,0,0,0,32,9272,2.8,3.22
5338,0,39,10,57360,12,4780,1,75,2766536.70,36887.156000,0,1,0,0,0,6,8546,2.95,4.02
5343,0,27,14,44952,24,1873,0,89,4579388.30,51453.801124,0,1,0,0,0,1,12541,0.29,0.43
5346,0,49,21,55632,24,2318,0,114,3379566.50,29645.320175,0,1,0,0,0,70,10177,6.63,7.75
5350,0,40,14,249312,48,5194,0,60,2154891.30,35914.855000,0,1,0,0,0,26,10787,2.64,3.09
5351,1,31,17,205200,36,5700,0,129,7525384.20,58336.311628,0,1,0,0,0,57,12541,0.29,0.43
5352,1,18,5,68400,12,5700,1,14,445112.30,31793.735714,0,1,0,0,0,68,9893,4.09,4.72
5354,0,60,11,290820,60,4847,0,84,3747834.80,44617.080952,1,0,0,1,0,5,9307,3.85,4.43
5358,0,57,19,38520,12,3210,0,114,2306369.70,20231.313158,0,1,0,0,0,42,8388,2.41,2.94
5360,0,54,20,176328,36,4898,0,171,8065201.10,47164.918713,0,1,0,0,0,53,8240,2.53,3.56
5363,1,22,17,293880,60,4898,1,90,4790443.00,53227.144444,1,0,0,0,1,64,9624,1.6,2.31
5365,0,27,15,271260,60,4521,0,73,1085756.60,14873.378082,0,1,0,0,0,37,9065,4.46,5.39
5366,1,55,7,86184,12,7182,0,42,2531494.50,60273.678571,1,0,0,1,0,70,10177,6.63,7.75
5367,1,19,7,83628,36,2323,0,34,987788.70,29052.608824,0,1,0,0,0,54,9897,1.6,1.96
5368,0,41,13,44640,24,1860,0,67,2757336.70,41154.279104,0,1,0,0,0,59,8444,3.24,3.47
5369,0,60,4,214596,36,5961,0,17,1068499.60,62852.917647,1,0,0,1,0,74,10673,4.75,5.44
5375,1,19,8,101520,12,8460,0,38,1005065.50,26449.092105,0,1,0,0,0,1,12541,0.29,0.43
5377,1,23,15,92400,12,7700,0,104,4398283.30,42291.185577,1,0,0,1,0,70,10177,6.63,7.75
5382,1,43,7,22932,36,637,0,41,1744012.30,42536.885366,0,1,0,0,0,52,8363,2.52,3.49
5384,1,33,6,23328,12,1944,0,27,1088414.20,40311.637037,0,1,0,0,0,42,8388,2.41,2.94
5385,1,16,7,71460,36,1985,0,31,1525850.40,49220.980645,1,0,1,0,0,1,12541,0.29,0.43
5388,0,53,10,61560,12,5130,0,71,2340707.60,32967.712676,1,0,0,1,0,31,8930,3.52,4.2
5389,0,41,4,78600,24,3275,0,14,600633.70,42902.407143,0,1,0,0,0,51,8541,2.51,2.97
5390,1,29,14,170256,24,7094,0,77,3087021.10,40091.183117,1,0,0,1,0,16,8427,1.12,1.54
5395,1,27,13,299088,36,8308,1,126,6551099.70,51992.854762,0,1,0,0,0,67,8110,5.77,6.55
5398,0,57,20,53472,12,4456,0,134,8595363.30,64144.502239,0,1,0,0,0,9,8899,3.39,3.97
5409,1,44,11,182040,60,3034,0,59,3981078.20,67475.901695,1,0,0,1,0,19,8402,3.13,3.98
5413,1,25,18,92976,24,3874,0,109,5497574.80,50436.466055,1,0,0,1,0,31,8930,3.52,4.2
5414,0,50,12,185952,48,3874,0,34,1703848.60,50113.194118,0,1,0,0,0,34,9675,6.43,7.68
5415,0,38,12,139464,36,3874,1,31,977515.20,31532.748387,0,1,0,0,0,73,8746,3.33,3.74
5418,1,30,21,347952,48,7249,0,120,6498863.30,54157.194167,0,1,0,0,0,29,8843,2.82,3.6
5419,1,47,9,415800,60,6930,0,37,1637815.10,44265.272973,0,1,0,0,0,1,12541,0.29,0.43
5420,1,46,10,72504,24,3021,0,99,4492089.60,45374.642424,0,1,0,0,0,24,8991,1.39,2.01
5428,0,48,21,230220,36,6395,0,153,9933243.90,64923.162745,1,0,0,1,0,13,8598,2.77,3.26
5429,0,25,17,20196,36,561,0,96,5053113.50,52636.598958,0,1,0,0,0,1,12541,0.29,0.43
5435,0,24,19,314688,48,6556,0,107,5681097.00,53094.364486,1,0,0,1,0,2,8507,1.67,1.85
5445,0,17,17,46320,24,1930,0,178,7771090.80,43657.813483,0,1,0,0,0,33,8705,5.75,7.61
5446,0,38,16,48312,24,2013,0,94,2998358.70,31897.432979,0,1,0,0,0,50,8187,4.83,5.45
5447,1,50,19,541200,60,9020,1,174,2089113.00,12006.396552,0,1,0,0,0,70,10177,6.63,7.75
5449,1,15,10,99336,24,4139,0,52,1405017.70,27019.571154,0,1,0,0,0,68,9893,4.09,4.72
5450,0,45,13,199680,60,3328,0,74,2490737.70,33658.617568,0,1,0,0,0,5,8363,2.52,3.49
5451,1,24,9,159744,48,3328,0,28,1578886.70,56388.810714,1,0,0,1,0,18,8968,2.83,3.35
5452,1,29,15,49440,60,824,0,110,5257875.20,47798.865455,0,1,0,0,0,70,10177,6.63,7.75
5453,1,38,13,156672,36,4352,0,75,1719562.70,22927.502667,0,1,0,0,0,28,8594,1.62,2.01
5463,1,44,11,17952,12,1496,0,58,1658677.40,28597.886207,0,1,0,0,0,33,8705,5.75,7.61
5464,0,54,14,95808,12,7984,0,90,5373160.80,59701.786667,0,1,0,0,0,24,9425,1.72,2.5
5469,1,19,17,293160,60,4886,0,97,4824840.50,49740.623711,0,1,0,0,0,52,8363,2.52,3.49
5470,0,41,7,200976,48,4187,0,35,1677832.30,47938.065714,0,1,0,0,0,65,8403,5.74,5.72
5479,0,35,10,24516,12,2043,0,73,4057502.50,55582.226027,0,1,0,0,0,1,12541,0.29,0.43
5482,1,45,19,165120,60,2752,0,116,2827775.10,24377.371552,0,1,0,0,0,51,8541,2.51,2.97
5486,1,51,18,466608,48,9721,0,102,3688424.20,36161.021569,0,1,0,0,0,6,8546,2.95,4.02
5491,0,61,14,428784,48,8933,0,110,2434710.90,22133.735455,0,1,0,0,0,1,12541,0.29,0.43
5494,1,23,19,360000,48,7500,0,136,6956353.10,51149.655147,0,1,0,0,0,64,9624,1.6,2.31
5495,1,24,8,89340,60,1489,0,44,1744369.60,39644.763636,0,1,0,0,0,60,8441,3.45,4.48
5501,1,33,21,136344,24,5681,0,130,4117606.60,31673.896923,0,1,0,0,0,1,12541,0.29,0.43
5519,1,31,12,91632,12,7636,0,70,2868386.00,40976.942857,0,1,0,0,0,7,8363,2.52,3.49
5520,1,20,20,231168,48,4816,0,144,7862232.80,54598.838889,1,0,1,0,0,73,8746,3.33,3.74
5523,1,43,5,93888,36,2608,0,19,712699.40,37510.494737,0,1,0,0,0,63,8288,3.79,4.52
5525,0,61,10,93888,36,2608,0,91,6329440.60,69554.292308,0,1,0,0,0,2,8507,1.67,1.85
5526,0,51,19,69624,36,1934,0,145,7126127.60,49145.707586,1,0,0,1,0,52,8363,2.52,3.49
5527,0,41,11,156420,60,2607,0,63,3144276.80,49909.155556,0,1,0,0,0,52,8363,2.52,3.49
5531,1,26,19,66432,24,2768,0,107,3535268.50,33039.892523,0,1,0,0,0,26,10787,2.64,3.09
5532,1,44,15,335280,48,6985,0,97,4232055.30,43629.436082,0,1,0,0,0,57,8720,3.73,4.5
5533,0,27,15,111384,24,4641,0,152,9894778.10,65097.224342,0,1,0,0,0,19,9622,0.45,0.59
5549,1,46,8,50460,60,841,0,43,1615537.00,37570.627907,1,0,0,0,1,11,9622,0.45,0.59
5556,1,44,8,268320,60,4472,0,52,1269387.30,24411.294231,0,1,0,0,0,1,12541,0.29,0.43
5561,1,45,10,437460,60,7291,0,53,2593578.10,48935.435849,1,0,0,1,0,68,9893,4.09,4.72
5563,0,46,18,380160,60,6336,0,109,7060701.20,64777.075229,1,0,0,1,0,74,10673,4.75,5.44
5568,0,54,10,272520,60,4542,0,84,3746621.90,44602.641667,0,1,0,0,0,10,10124,0.56,0.54
5569,0,26,21,504000,60,8400,0,124,2596881.70,20942.594355,0,1,0,0,0,3,8980,1.95,2.21
5576,1,55,18,31248,12,2604,0,120,7739171.90,64493.099167,0,1,0,0,0,1,12541,0.29,0.43
5582,0,59,22,41256,12,3438,0,215,13652587.50,63500.406977,1,0,0,0,1,19,8402,3.13,3.98
5584,0,39,19,24792,24,1033,0,135,6353351.10,47061.860000,1,0,0,1,0,63,8288,3.79,4.52
5585,0,50,20,88608,12,7384,0,134,6867383.40,51249.129851,0,1,0,0,0,66,8512,3.51,4.12
5586,1,32,4,48744,36,1354,0,14,601022.90,42930.207143,1,0,0,1,0,77,8909,4.01,5.56
5589,0,50,16,390000,48,8125,0,44,2147142.70,48798.697727,0,1,0,0,0,42,8388,2.41,2.94
5591,1,37,7,155616,48,3242,0,30,1182782.10,39426.070000,0,1,0,0,0,10,10124,0.56,0.54
5593,1,15,22,277884,36,7719,1,117,5438979.30,46487.002564,0,1,0,0,0,44,8254,2.79,3.76
5595,0,22,15,82896,12,6908,0,126,7199858.10,57141.730952,1,0,0,1,0,60,8208,1.89,2.26
5599,1,29,21,15420,12,1285,0,151,3711157.20,24577.200000,0,1,0,0,0,40,12541,0.29,0.43
5606,1,51,7,253512,36,7042,1,29,1075779.50,37095.844828,0,1,0,0,0,59,8444,3.24,3.47
5610,1,18,18,123216,48,2567,0,128,9039722.70,70622.833594,1,0,1,0,0,38,8965,7.08,8.23
5611,0,60,7,321180,60,5353,0,38,1539929.60,40524.463158,0,1,0,0,0,14,10045,1.42,1.71
5614,1,47,21,253560,60,4226,0,108,4300852.80,39822.711111,0,1,0,0,0,39,10446,7.34,9.4
5616,1,43,18,130896,24,5454,0,113,3580416.20,31685.099115,0,1,0,0,0,38,8965,7.08,8.23
5620,0,44,21,30012,12,2501,0,103,4800762.90,46609.348544,0,1,0,0,0,48,9060,1.78,2.44
5624,0,22,16,177744,48,3703,1,95,2540919.90,26746.525263,1,0,0,1,0,71,8444,3.24,3.47
5625,0,57,12,222180,60,3703,1,59,3258596.20,55230.444068,0,1,0,0,0,29,8843,2.82,3.6
5634,0,60,17,39024,12,3252,0,136,8199433.80,60289.954412,1,0,0,1,0,64,9624,1.6,2.31
5635,1,41,18,77184,36,2144,0,77,3905614.80,50722.270130,0,1,0,0,0,1,12541,0.29,0.43
5638,0,39,10,68124,12,5677,0,51,1469259.00,28809.000000,0,1,0,0,0,74,10673,4.75,5.44
5643,0,44,20,94512,12,7876,1,134,6440288.80,48061.856716,0,1,0,0,0,74,10673,4.75,5.44
5644,1,34,15,276084,36,7669,0,142,8302199.50,58466.193662,1,0,0,1,0,1,12541,0.29,0.43
5651,0,33,13,19248,12,1604,0,72,2596750.20,36065.975000,0,1,0,0,0,3,8980,1.95,2.21
5656,1,43,5,146064,24,6086,0,22,975810.90,44355.040909,0,1,0,0,0,74,10673,4.75,5.44
5657,1,41,8,4980,12,415,0,46,1404535.10,30533.371739,0,1,0,0,0,63,8288,3.79,4.52
5665,1,52,14,40632,12,3386,0,118,5720473.70,48478.590678,0,1,0,0,0,12,8754,3.83,4.31
5669,0,34,13,71820,36,1995,0,79,4289193.80,54293.592405,0,1,0,0,0,63,8288,3.79,4.52
5674,0,34,9,207264,48,4318,0,58,3558015.80,61345.100000,0,1,0,0,0,42,8388,2.41,2.94
5681,1,17,16,68664,24,2861,0,73,2690475.10,36855.823288,0,1,0,0,0,58,8757,3.38,3.95
5682,0,61,11,67464,12,5622,0,57,2622923.30,46016.198246,0,1,0,0,0,34,9675,6.43,7.68
5683,0,56,13,140688,48,2931,0,85,4888719.50,57514.347059,0,1,0,0,0,16,8427,1.12,1.54
5693,1,44,7,44088,24,1837,0,32,1169562.20,36548.818750,0,1,0,0,0,9,8899,3.39,3.97
5698,1,47,12,174840,60,2914,0,87,3029554.80,34822.468966,0,1,0,0,0,58,8757,3.38,3.95
5699,1,20,22,174960,24,7290,0,143,8426476.80,58926.411189,0,1,0,0,0,50,8187,4.83,5.45
5706,0,24,20,161496,36,4486,0,130,4318587.00,33219.900000,0,1,0,0,0,72,8994,3.8,4.79
5713,0,17,22,158760,60,2646,0,166,4134854.40,24908.761446,0,1,0,0,0,48,9060,1.78,2.44
5718,1,51,22,14028,12,1169,0,156,8081115.00,51802.019231,0,1,0,0,0,53,8240,2.53,3.56
5719,0,21,16,271584,48,5658,0,90,5614838.10,62387.090000,1,0,0,1,0,1,12541,0.29,0.43
5723,0,40,17,23628,12,1969,0,110,5216292.60,47420.841818,0,1,0,0,0,38,8965,7.08,8.23
5724,0,26,22,316140,60,5269,1,139,2589977.80,18632.933813,0,1,0,0,0,1,12541,0.29,0.43
5725,0,32,11,444864,48,9268,0,64,2073905.50,32404.773438,0,1,0,0,0,64,9624,1.6,2.31
5731,1,32,5,460980,60,7683,1,26,1180663.90,45410.150000,0,1,0,0,0,3,8980,1.95,2.21
5739,1,37,8,76380,12,6365,0,45,1175528.20,26122.848889,0,1,0,0,0,1,12541,0.29,0.43
5740,1,32,4,18564,12,1547,0,13,461994.60,35538.046154,0,1,0,0,0,1,12541,0.29,0.43
5741,0,20,8,68544,24,2856,0,54,2427225.80,44948.625926,0,1,0,0,0,37,9065,4.46,5.39
5750,1,46,22,63252,12,5271,0,164,8083858.90,49291.822561,0,1,0,0,0,7,9920,2.26,2.87
5754,1,53,20,23052,12,1921,0,171,4065006.20,23771.966082,0,1,0,0,0,54,9897,1.6,1.96
5758,0,35,12,307200,60,5120,1,68,3024917.10,44484.075000,0,1,0,0,0,53,8240,2.53,3.56
5760,0,56,21,74916,36,2081,0,169,9486587.30,56133.652663,0,1,0,0,0,1,12541,0.29,0.43
5765,0,48,3,153936,24,6414,0,11,638347.90,58031.627273,0,1,0,0,0,44,8254,2.79,3.76
5772,1,36,8,334620,60,5577,0,35,2270238.40,64863.954286,0,1,0,0,0,52,8363,2.52,3.49
5773,1,37,22,133848,24,5577,0,112,4728643.30,42220.029464,0,1,0,0,0,37,9065,4.46,5.39
5774,0,26,9,96984,36,2694,0,55,1171432.90,21298.780000,0,1,0,0,0,8,11277,1.25,1.44
5779,1,57,17,107352,36,2982,0,84,4871590.00,57995.119048,0,1,0,0,0,27,8561,0.65,1.29
5782,1,37,6,63576,12,5298,0,32,1892114.80,59128.587500,0,1,0,0,0,1,12541,0.29,0.43
5784,0,58,6,84600,36,2350,1,32,1336534.20,41766.693750,0,1,0,0,0,54,9897,1.6,1.96
5790,1,19,4,84288,48,1756,0,12,357889.50,29824.125000,0,1,0,0,0,57,8720,3.73,4.5
5799,0,19,11,106128,36,2948,0,52,1875741.00,36071.942308,0,1,0,0,0,36,9198,3.33,4.28
5804,0,56,17,158976,48,3312,0,156,7786910.20,49916.091026,0,1,0,0,0,52,8363,2.52,3.49
5805,0,27,4,137904,24,5746,1,12,322634.30,26886.191667,0,1,0,0,0,11,9622,0.45,0.59
5808,1,36,14,41856,48,872,0,103,3971604.20,38559.264078,1,0,0,1,0,54,9897,1.6,1.96
5815,0,51,7,151200,36,4200,0,40,2653827.30,66345.682500,0,1,0,0,0,6,8546,2.95,4.02
5817,0,59,15,100800,24,4200,1,64,1705585.30,26649.770313,0,1,0,0,0,50,8187,4.83,5.45
5823,1,24,22,212976,36,5916,0,149,7395721.60,49635.715436,0,1,0,0,0,1,12541,0.29,0.43
5830,0,46,22,405780,60,6763,0,176,5991819.60,34044.429545,0,1,0,0,0,62,8544,1.29,1.86
5836,1,35,4,79632,24,3318,0,16,1015907.20,63494.200000,0,1,0,0,0,66,8512,3.51,4.12
5837,1,26,8,244560,60,4076,0,42,1613922.60,38426.728571,0,1,0,0,0,56,8757,3.38,3.95
5841,0,25,20,41988,12,3499,0,129,4788789.10,37122.396124,0,1,0,0,0,77,8909,4.01,5.56
5850,1,40,15,164196,36,4561,0,49,2428375.60,49558.685714,0,1,0,0,0,64,9624,1.6,2.31
5856,1,51,12,51360,12,4280,1,87,4666364.60,53636.374713,0,1,0,0,0,61,8814,4.76,5.74
5861,0,45,12,51408,24,2142,0,64,3347154.30,52299.285938,1,0,0,1,0,29,8843,2.82,3.6
5862,1,49,19,100128,24,4172,0,139,7852998.40,56496.391367,1,0,0,1,0,74,10673,4.75,5.44
5865,1,56,21,327660,60,5461,0,126,6209499.10,49281.738889,1,0,0,1,0,38,8965,7.08,8.23
